#
#   VizieR Astronomical Server vizier.cds.unistra.fr
#    Date: 2022-09-09T05:05:23 [V1.99+ (14-Oct-2013)]
#   In case of problem, please report to:	cds-question@unistra.fr
#
#
#Coosys	J2000:	eq_FK5 J2000
#INFO	votable-version=1.99+ (14-Oct-2013)	
#INFO	-ref=VIZ631ac0cd2df3cf	
#INFO	-out.max=unlimited	
#INFO	queryParameters=21	
#-oc.form=dec
#-out.max=unlimited
#-nav=cat:II/250&tab:{II/250/gcvs_cat}&key:source=II/250/gcvs_cat&HTTPPRM:&
#-c.eq=J2000
#-c.r=  2
#-c.u=arcmin
#-c.geom=r
#-source=II/250/gcvs_cat
#-order=I
#-out=GCVS
#-out=n_GCVS
#-out=RAJ2000
#-out=DEJ2000
#-out=VarType
#VarType=DCEP
#-out=magMax
#-out=Period
#-out=SpType
#-out=f_GCVS
#AFOEV=AFOEV
#Simbad=Simbad
#

#RESOURCE=yCat_2250
#Name: II/250
#Title: Combined General Catalogue of Variable Stars (Samus+ 2004)
#Table	II_250_gcvs_cat:
#Name: II/250/gcvs_cat
#Title: The GCVS4.2 Catalog (Vol. I-III)
#Column	GCVS	(a10)	Variable star designation (G1)	[ucd=meta.id]
#Column	n_GCVS	(A1)	[*] indicates a remark in "gcvs_rem.dat" file	[ucd=meta.note]
#Column	RAJ2000	(A10)	? Hours RA, equinox J2000.0 (2)	[ucd=pos.eq.ra;meta.main]
#Column	DEJ2000	(A9)	? Degrees Dec, equinox J2000.0 (2)	[ucd=pos.eq.dec;meta.main]
#Column	VarType	(a10)	Type of variability (see file "vartype.txt")	[ucd=meta.code;src.var]
#Column	magMax	(F6.3)	? Magnitude at maximum brightness	[ucd=phot.mag]
#Column	Period	(F16.10)	? Period of the variable star	[ucd=time.period]
#Column	SpType	(a17)	MK Spectral type	[ucd=src.spType]
#Column	f_GCVS	(A1)	[=N+] "N" if the star does not exist (7)	[ucd=meta.code]
GCVS|n_GCVS|RAJ2000|DEJ2000|VarType|magMax|Period|SpType|f_GCVS
EY    Car |x|10 42 23.0|-61 09 57|DCEP      |10.000|    2.8759800000|                 |
FF    Car |x|10 44 54.1|-58 17 53|DCEP      |13.200|   16.3285000000|                 |
FH    Car |x|10 48 18.6|-60 39 03|DCEP      |13.000|    5.6643900000|                 |
FI    Car |*|10 51 01.8|-58 35 26|DCEP      |11.340|   13.4582000000|                 |
FK    Car |*|10 53 56.4|-59 57 53|DCEP      |13.000|   23.2540000000|                 |
FM    Car | |11 00 25.1|-60 59 36|DCEP      |13.000|    7.6386100000|                 |
FN    Car |x|11 01 14.4|-60 07 00|DCEP      |11.160|    4.5856900000|                 |
FO    Car |*|11 01 30.7|-62 17 27|DCEP      |10.510|   10.3568000000|                 |
FQ    Car |*|11 10 12.8|-60 50 51|DCEP      |12.800|   10.2739900000|                 |
FR    Car |x|11 14 21.2|-60 03 11|DCEP      | 9.290|   10.7169700000|G5               |
GS    Car | |10 51 54.2|-61 28 02|DCEP      |12.800|    4.0551500000|                 |
GT    Car | |10 59 26.1|-59 29 11|DCEP      |11.570|   13.1620000000|                 |
GX    Car |x|09 55 26.2|-58 25 47|DCEP      | 8.940|    7.1967300000|F8II-K0          |
HK    Car |*|11 03 45.2|-60 38 32|DCEP      |10.710|    6.6957400000|G5               |
HQ    Car |*|10 20 32.0|-61 14 58|DCEP      |11.840|   14.0722000000|                 |
HS    Car | |10 24 34.2|-59 32 09|DCEP      |12.700|    5.0920900000|                 |
HW    Car |*|10 39 20.3|-61 09 09|DCEP      | 9.000|    9.2002000000|G2-3Ib-II        |
II    Car |x|10 48 49.1|-60 03 47|DCEP      |14.000|   64.2400000000|                 |
IK    Car |*|10 48 57.6|-64 10 27|DCEP      |14.100|    5.1017900000|                 |
IM    Car | |10 55 09.2|-60 32 52|DCEP      |12.900|    5.3362500000|                 |
IP    Car | |11 01 28.4|-64 17 27|DCEP      |14.000|    7.1225000000|                 |
IT    Car |x|11 12 10.1|-61 45 18|DCEP      | 7.900|    7.5332000000|F8-K2Iab-Ib      |
V0442 Car | |10 59 12.1|-60 18 42|DCEP      |13.820|                |                 |+
l     Car |x|09 45 14.8|-62 30 28|DCEP      | 3.280|   35.5358400000|F6Ib-K0Ib        |
RS    Cas |*|23 37 16.1|+62 25 44|DCEP      | 9.530|    6.2959830000|F7-G1Ib          |
RW    Cas |*|01 37 14.0|+57 45 33|DCEP      | 8.620|   14.7949000000|F6-G5            |
RY    Cas |*|23 52 07.0|+58 44 30|DCEP      | 9.380|   12.1372600000|F5-G3Ib          |
SW    Cas |x|23 07 10.1|+58 33 15|DCEP      | 9.320|    5.4409500000|F6-G2            |
SY    Cas |*|00 15 09.8|+58 25 27|DCEP      | 9.400|    4.0710980000|F5-G0            |
UZ    Cas |*|01 12 41.2|+61 12 48|DCEP      |10.930|    4.2594590000|F6-G2            |
VV    Cas |*|01 51 07.0|+59 53 18|DCEP      |10.260|    6.2070590000|F6-G2Ib          |
VW    Cas |*|01 05 48.2|+61 45 18|DCEP      |10.360|    5.9938590000|F6-G2            |
XY    Cas |x|00 49 53.3|+60 07 39|DCEP      | 9.610|    4.5016970000|F6Ib-G2Ib        |
AP    Cas |x|00 33 16.2|+62 54 26|DCEP      |11.250|    6.8470000000|F6Ib-F7.5Ib      |
AW    Cas |x|01 16 01.2|+61 37 15|DCEP      |13.200|    4.2783300000|                 |
AY    Cas |x|01 39 00.0|+64 59 21|DCEP      |11.230|    2.8712940000|F4               |
BF    Cas |x|00 14 03.3|+60 59 11|DCEP      |13.100|    3.6302900000|                 |
BP    Cas |x|01 15 01.1|+65 35 58|DCEP      |10.550|    6.2727240000|F6-G1            |
BV    Cas |x|01 30 01.1|+62 17 03|DCEP      |12.800|    5.3996400000|                 |
CD    Cas |x|23 45 02.6|+63 00 14|DCEP      |10.370|    7.8008900000|F6-G5            |
CE    CasA|*|23 58 09.5|+61 12 49|DCEP      |10.630|    5.1410583000|F9Ib             |
CE    CasB|*|23 58 09.1|+61 12 49|DCEP      |10.620|    4.4793014000|F8Ib-G0Ib        |
CF    Cas |*|23 58 18.0|+61 13 16|DCEP      |10.800|    4.8752200000|F8Ib-G0Ib        |
CG    Cas |*|00 00 59.2|+60 57 32|DCEP      |10.890|    4.3655400000|F5-F8            |
CH    Cas |*|23 22 28.4|+62 45 26|DCEP      |10.370|   15.0861900000|F3pIb-F6         |
CT    Cas |x|00 20 03.0|+63 10 47|DCEP      |13.100|    3.8106100000|                 |
CY    Cas |*|23 29 12.8|+63 22 27|DCEP      |11.070|   14.3768600000|G0Ib-G2Ib        |
CZ    Cas |x|23 39 27.4|+62 22 20|DCEP      |11.300|    5.6643800000|F6               |
DD    Cas |*|23 57 35.0|+62 43 06|DCEP      | 9.560|    9.8120270000|F7-G1            |
DF    Cas |*|02 44 43.3|+61 27 53|DCEP      |10.530|    3.8324720000|F6-G4:           |
DL    Cas |*|00 29 58.6|+60 12 43|DCEP      | 8.630|    8.0006690000|F5Ib-G2Ib        |
DT    Cas |x|23 34 59.6|+59 21 29|DCEP      |14.150|    4.7899600000|                 |
DW    Cas |x|23 38 48.4|+59 23 31|DCEP      |10.810|    4.9977600000|F7               |
EX    Cas |x|00 02 41.8|+61 51 40|DCEP      |13.500|    4.3053000000|                 |
FM    Cas |x|00 14 28.2|+56 15 11|DCEP      | 8.820|    5.8092840000|F7-G0I           |
FO    Cas |x|00 17 02.5|+60 48 10|DCEP      |15.100|    6.7988000000|                 |
FW    Cas |x|00 36 44.5|+62 16 28|DCEP      |13.500|    6.2370500000|                 |
GL    Cas |x|02 10 46.3|+59 15 13|DCEP      |13.400|    4.0078900000|                 |
GM    Cas |x|02 26 56.7|+60 34 17|DCEP      |13.400|    7.4689000000|                 |
GO    Cas |x|02 35 05.7|+59 23 03|DCEP      |14.900|    3.2390400000|                 |
HK    Cas |x|00 57 20.1|+55 26 20|DCEP      |14.700|    2.4995630000|                 |
IO    Cas |x|01 47 02.7|+59 36 23|DCEP      |14.400|    5.6039200000|                 |
KK    Cas |x|23 49 56.0|+59 56 27|DCEP      |13.000|    8.1916500000|                 |
LT    Cas |x|02 45 51.5|+63 18 16|DCEP      |13.100|    5.9048800000|                 |
NP    Cas |x|00 23 57.6|+62 57 00|DCEP      |14.500|    6.1706000000|                 |
OP    Cas |*|00 46 29.9|+63 32 36|DCEP      |12.900|    5.5128000000|                 |
OZ    Cas |x|01 14 19.6|+62 02 39|DCEP      |15.200|    5.0800000000|                 |
PW    Cas |x|23 25 58.5|+61 16 01|DCEP      |14.000|    3.9999270000|F6-G0            |
V0342 Cas |x|23 01 21.2|+57 52 02|DCEP      |12.400|    3.9198900000|F6-G0            |
V0395 Cas | |02 10 29.2|+63 17 51|DCEP      |10.390|    4.0377280000|G3               |
V0407 Cas |x|23 54 24.6|+62 08 58|DCEP      |12.800|    4.5845526000|                 |
V0643 Cas | |00 28 57.7|+60 21 38|DCEP      |11.700|                |                 |+
V0644 Cas | |01 01 16.5|+60 14 18|DCEP      |11.300|                |                 |+
V0824 Cas | |00 22 31.3|+63 01 59|DCEP      |11.030|                |                 |+
V0833 Cas | |02 54 40.0|+63 33 17|DCEP      |13.600|                |                 |+
V0834 Cas | |03 05 54.7|+57 45 44|DCEP      |15.600|                |                 |+
V0836 Cas | |03 08 43.6|+62 08 15|DCEP      |12.600|                |                 |+
V0846 Cas | |23 33 20.3|+61 07 09|DCEP      |14.200|                |                 |+
V0879 Cas | |00 01 46.0|+62 25 28|DCEP      |15.400|                |                 |+
V0946 Cas |x|02 44 19.4|+64 45 57|DCEP      |12.600|                |                 |+
V     Cen |*|14 32 33.1|-56 53 16|DCEP      | 6.430|    5.4938390000|F5Ib/II-G0       |
TX    Cen |*|14 35 12.0|-60 59 52|DCEP      | 9.850|   17.0936000000|                 |
VW    Cen |*|13 33 59.0|-64 03 20|DCEP      | 9.670|   15.0361800000|                 |
XX    Cen |x|13 40 18.6|-57 36 47|DCEP      | 7.300|   10.9543480000|F6-G4(F7/8II)    |
AY    Cen |x|11 25 05.8|-60 44 05|DCEP      | 8.580|    5.3097500000|G1I-G5           |
IZ    Cen |*|11 41 19.6|-62 15 53|DCEP      |14.280|    5.8923000000|                 |
KK    Cen |*|11 42 48.2|-58 59 36|DCEP      |10.840|   12.1803000000|                 |
KN    Cen |*|13 36 36.9|-64 33 30|DCEP      | 9.280|   34.0457000000|                 |
LV    Cen |*|11 33 17.8|-63 14 33|DCEP      |13.300|    4.9751300000|                 |
MY    Cen |*|13 11 04.5|-61 37 38|DCEP      |11.640|    3.7186100000|                 |
OO    Cen |*|13 26 30.2|-63 09 45|DCEP      |11.620|   12.8805000000|                 |
QY    Cen |*|14 08 17.2|-61 44 10|DCEP      |11.280|   17.7524000000|                 |
V0339 Cen |*|14 21 48.5|-61 32 59|DCEP      | 8.400|    9.4660000000|F7II-G5          |
V0496 Cen |*|13 03 10.7|-60 52 39|DCEP      | 9.620|    4.4241900000|G3               |
V0641 Cen |x|14 39 07.9|-59 50 09|DCEP      | 9.960|   35.2160000000|F5-G9            |
V0659 Cen |x|13 31 33.4|-61 34 57|DCEP      | 6.450|    5.6218000000|F7Ib             |
V0737 Cen |x|14 37 12.0|-62 00 39|DCEP      | 7.500|    7.0658500000|G2Ib             |
V0782 Cen | |11 53 07.0|-62 43 10|DCEP      |13.600|   11.5780000000|                 |
AK    Cep |x|22 28 50.1|+58 12 39|DCEP      |10.860|    7.2326800000|F6-G2            |
CN    Cep |x|23 25 34.8|+64 47 25|DCEP      |13.600|    9.5025000000|                 |
CP    Cep |*|21 57 52.7|+56 09 50|DCEP      |10.060|   17.8590000000|F5Ib-F7          |
CR    Cep |*|22 46 24.8|+59 26 32|DCEP      | 9.430|    6.2329640000|F8.4             |
DR    Cep |x|20 49 05.6|+58 53 57|DCEP      |13.200|   19.0658800000|F5p              |
IR    Cep |*|21 57 51.9|+61 01 08|DCEP      | 7.580|    2.1141240000|G0               |
KO    Cep |x|22 10 58.4|+56 17 30|DCEP      |15.500|    4.5580900000|                 |
V0529 Cep |x|22 54 47.3|+57 47 26|DCEP      |13.300|                |                 |+
del   Cep |*|22 29 10.3|+58 24 55|DCEP      | 3.480|    5.3663410000|F5Ib-G1Ib        |
AV    Cir |x|14 50 30.3|-67 29 51|DCEP      | 8.000|    3.0651000000|F7II             |
AX    Cir |*|14 52 35.3|-63 48 35|DCEP      | 5.650|    5.2732680000|F2-G2II+B4       |
R     Cru |*|12 23 37.7|-61 37 45|DCEP      | 6.400|    5.8257500000|F6-G2Ib-II       |
S     Cru |x|12 54 22.0|-58 25 50|DCEP      | 6.220|    4.6899700000|F6-G1Ib-II       |
T     Cru |*|12 21 21.1|-62 16 54|DCEP      | 6.320|    6.7333100000|F6-G2Ib          |
X     Cru |x|12 46 22.3|-59 07 29|DCEP      | 8.100|    6.2199700000|F6-G2Ib          |
SU    Cru |*|12 18 16.9|-63 16 49|DCEP      | 9.380|   12.8476000000|                 |
SV    Cru |*|11 57 53.7|-62 38 46|DCEP      |11.760|    7.0042700000|                 |
TY    Cru | |12 06 40.4|-62 35 49|DCEP      |13.770|    4.9885100000|                 |
VV    Cru | |12 23 31.9|-64 28 15|DCEP      |13.000|    6.1211500000|                 |
VW    Cru |x|12 33 18.7|-63 30 23|DCEP      | 9.320|    5.2652200000|K0               |
VX    Cru | |12 34 23.5|-61 14 15|DCEP      |11.420|   12.2126000000|                 |
AD    Cru |*|12 12 59.7|-62 05 49|DCEP      |10.640|    6.3978900000|                 |
AF    Cru |*|12 19 07.2|-63 09 54|DCEP      |10.570|    9.2970000000|F5-G9I-II        |
AG    Cru |*|12 41 26.0|-59 47 39|DCEP      | 7.730|    3.8372800000|F8Ib-II          |
BX    Cru | |12 50 38.7|-63 04 34|DCEP      |12.200|   19.5370000000|                 |
X     Cyg |*|20 43 24.2|+35 35 16|DCEP      | 5.850|   16.3863320000|F7Ib-G8Ib        |
SU    Cyg |*|19 44 48.7|+29 15 53|DCEP      | 6.440|    3.8455473000|F2-G0I-II+B7V    |
SZ    Cyg |*|20 32 54.3|+46 36 05|DCEP      | 8.920|   15.1096500000|F9-G5Ib          |
TX    Cyg |*|21 00 06.4|+42 35 51|DCEP      | 8.590|   14.7098000000|F5-G6Ib          |
VX    Cyg |*|20 57 20.8|+40 10 39|DCEP      | 9.540|   20.1334070000|F5e-G2I-II       |
VY    Cyg |x|21 04 16.6|+39 58 20|DCEP      | 9.190|    7.8569820000|F6-G1Ib          |
VZ    Cyg |*|21 51 41.4|+43 08 03|DCEP      | 8.600|    4.8644530000|F5-G0            |
AL    Cyg |x|20 47 15.3|+31 12 46|DCEP      |13.800|    5.3410600000|                 |
BZ    Cyg |*|20 45 59.8|+45 18 25|DCEP      |10.000|   10.1419320000|F8Ib-G5Ib        |
CD    Cyg |*|20 04 26.6|+34 06 44|DCEP      | 8.350|   17.0739670000|F8-K0Ib          |
EP    Cyg |x|19 45 03.7|+31 19 51|DCEP      |12.310|    4.2889305000|                 |
EX    Cyg |x|19 54 23.4|+31 13 37|DCEP      |12.640|    4.8507928000|                 |
EZ    Cyg |*|19 57 49.0|+30 15 57|DCEP      |11.700|   11.6597170000|G5               |
GH    Cyg |x|19 59 10.8|+29 27 03|DCEP      | 9.500|    7.8179300000|F5-G1            |
GI    Cyg |x|19 59 33.7|+33 44 47|DCEP      |11.430|    5.7825500000|                 |
KX    Cyg |x|20 24 19.4|+40 33 40|DCEP      |13.200|   20.0467000000|                 |
MW    Cyg |x|20 12 22.8|+32 52 18|DCEP      | 9.140|    5.9545860000|F8-G2Ib          |
V0347 Cyg |x|20 51 26.7|+46 07 16|DCEP      |13.700|    8.7362000000|                 |
V0356 Cyg |x|21 07 46.7|+46 44 14|DCEP      |13.100|    5.0576100000|                 |
V0386 Cyg |x|21 14 40.4|+41 42 59|DCEP      | 9.250|    5.2576060000|F5-G1Ib          |
V0396 Cyg |x|20 16 12.7|+42 06 32|DCEP      |12.600|   33.2470000000|                 |
V0402 Cyg |*|20 09 07.8|+37 09 07|DCEP      | 9.530|    4.3648360000|G0III            |
V0438 Cyg |x|20 18 54.3|+40 03 52|DCEP      |12.000|   11.2110580000|                 |
V0459 Cyg |x|21 10 54.4|+49 08 31|DCEP      |10.270|    7.2512500000|F8               |
V0492 Cyg |x|20 11 13.6|+35 24 49|DCEP      |13.600|    7.5801700000|                 |
V0495 Cyg |x|20 15 58.3|+35 00 53|DCEP      |12.200|    6.7237900000|                 |
V0514 Cyg |x|20 46 12.5|+45 28 43|DCEP      |12.400|    5.0989100000|K3               |
V0520 Cyg |*|20 54 57.5|+47 32 02|DCEP      |10.530|    4.0490680000|G0               |
V0538 Cyg |*|21 37 28.1|+51 45 45|DCEP      |10.200|    6.1189610000|                 |
V0547 Cyg |*|19 57 46.1|+35 38 10|DCEP      |12.880|    6.2254100000|                 |
V0554 Cyg |x|20 07 21.2|+40 10 41|DCEP      |14.600|    4.3278146000|                 |
V0609 Cyg |x|21 26 56.0|+54 29 29|DCEP      |12.200|   31.0720000000|                 |
V0621 Cyg |x|21 32 40.4|+49 12 45|DCEP      |12.300|    5.8640000000|                 |
V1020 Cyg |x|19 59 09.1|+32 41 44|DCEP      |14.900|    4.9199640000|                 |
V1025 Cyg |x|20 00 46.4|+30 54 28|DCEP      |14.000|    6.9617600000|                 |
V1364 Cyg |x|20 07 29.5|+35 20 47|DCEP      |14.800|   12.9764000000|                 |
V1467 Cyg | |20 04 02.2|+32 27 03|DCEP      |15.100|   48.6000000000|                 |
V2201 Cyg | |21 04 16.9|+49 44 40|DCEP      |13.400|                |                 |+
V2340 Cyg | |21 28 44.9|+48 58 42|DCEP      |11.800|                |                 |+
V     Dor |*|04 57 45.1|-65 42 30|DCEP      |12.620|   24.2400000000|                 |=
X     Dor |x|05 33 45.7|-69 43 39|DCEP      |15.300|    3.9412530000|                 |=
